ticker,cik,company,sic_code,sic_description,target_sector
TWI,899751,TITAN INTERNATIONAL INC,3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",Manufacturing
LXFR,1096056,LUXFER HOLDINGS PLC,2810,Industrial Inorganic Chemicals,Manufacturing
MAGN,41719,Magnera Corp,2621,Paper Mills,Manufacturing
ALTO,778164,"Alto Ingredients, Inc.",2860,Industrial Organic Chemicals,Manufacturing
QUAD,1481792,"Quad/Graphics, Inc.",2750,Commercial Printing,Manufacturing
MATV,1000623,"Mativ Holdings, Inc.",2621,Paper Mills,Manufacturing
CAL,14707,CALERES INC,3140,"Footwear, (No Rubber)",Manufacturing
VHI,59255,VALHI INC /DE/,2810,Industrial Inorganic Chemicals,Manufacturing
ASTL,1860805,Algoma Steel Group Inc.,3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",Manufacturing
OPTX,1866816,"SYNTEC OPTICS HOLDINGS, INC.",3827,Optical Instruments & Lenses,Manufacturing
LAB,1162194,STANDARD BIOTOOLS INC.,3826,Laboratory Analytical Instruments,Manufacturing
ACCO,712034,ACCO BRANDS Corp,2780,"Blankbooks, Looseleaf Binders & Bookbindg & Relatd Work",Manufacturing
GEVO,1392380,"Gevo, Inc.",2860,Industrial Organic Chemicals,Manufacturing
YSG,1819580,Yatsen Holding Ltd,2844,"Perfumes, Cosmetics & Other Toilet Preparations",Manufacturing
MASS,1555279,908 Devices Inc.,3829,"Measuring & Controlling Devices, NEC",Manufacturing
CIX,1049606,COMPX INTERNATIONAL INC,3420,"Cutlery, Handtools & General Hardware",Manufacturing
LODE,1120970,Comstock Inc.,2860,Industrial Organic Chemicals,Manufacturing
OEC,1609804,Orion S.A.,2890,Miscellaneous Chemical Products,Manufacturing
RCKY,895456,"ROCKY BRANDS, INC.",3140,"Footwear, (No Rubber)",Manufacturing
OFLX,1317945,"Omega Flex, Inc.",3430,"Heating Equip, Except Elec & Warm Air; & Plumbing Fixtures",Manufacturing
NL,72162,NL INDUSTRIES INC,2810,Industrial Inorganic Chemicals,Manufacturing
SENS,1616543,"Senseonics Holdings, Inc.",3823,"Industrial Instruments For Measurement, Display, and Control",Manufacturing
AERG,879911,"APPLIED ENERGETICS, INC.",3812,"Search, Detection, Navigation, Guidance, Aeronautical Sys",Manufacturing
LTBR,1084554,LIGHTBRIDGE Corp,2810,Industrial Inorganic Chemicals,Manufacturing
TG,850429,TREDEGAR CORP,3350,Rolling Drawing & Extruding of  Nonferrous Metals,Manufacturing
CLW,1441236,Clearwater Paper Corp,2631,Paperboard Mills,Manufacturing
FRD,39092,FRIEDMAN INDUSTRIES INC,3310,"Steel Works, Blast Furnaces & Rolling & Finishing Mills",Manufacturing
NAUT,1808805,"Nautilus Biotechnology, Inc.",3826,Laboratory Analytical Instruments,Manufacturing
FOSL,883569,"Fossil Group, Inc.",3873,"Watches, Clocks, Clockwork Operated Devices/Parts",Manufacturing
PTNM,2046573,Pitanium Ltd,2844,"Perfumes, Cosmetics & Other Toilet Preparations",Manufacturing
PMTS,1641614,CPI Card Group Inc.,2750,Commercial Printing,Manufacturing
WALD,1840199,Waldencast plc,2844,"Perfumes, Cosmetics & Other Toilet Preparations",Manufacturing
CDXS,1200375,"CODEXIS, INC.",2860,Industrial Organic Chemicals,Manufacturing
FF,1337298,FutureFuel Corp.,2860,Industrial Organic Chemicals,Manufacturing
CMT,1026655,CORE MOLDING TECHNOLOGIES INC,3089,"Plastics Products, NEC",Manufacturing
RXST,1111485,"RxSight, Inc.",3851,Ophthalmic Goods,Manufacturing
SAFX,2019793,"XCF Global, Inc.",2860,Industrial Organic Chemicals,Manufacturing
QSI,1816431,Quantum-Si Inc,3829,"Measuring & Controlling Devices, NEC",Manufacturing
INTT,1036262,INTEST CORP,3825,Instruments For Meas & Testing of  Electricity & Elec Signals,Manufacturing
LCUT,874396,"LIFETIME BRANDS, INC",3420,"Cutlery, Handtools & General Hardware",Manufacturing
QTRX,1503274,Quanterix Corp,3826,Laboratory Analytical Instruments,Manufacturing
ACU,2098,ACME UNITED CORP,3420,"Cutlery, Handtools & General Hardware",Manufacturing
LQMT,1141240,LIQUIDMETAL TECHNOLOGIES INC,2800,Chemicals & Allied Products,Manufacturing
LEE,58361,"LEE ENTERPRISES, Inc",2711,Newspapers: Publishing or  Publishing & Printing,Manufacturing
OWLT,1816708,"Owlet, Inc.",3829,"Measuring & Controlling Devices, NEC",Manufacturing
HUHU,1945415,HUHUTECH International Group Inc.,3360,Nonferrous Foundries (Castings),Manufacturing
ZONE,1956741,"CleanCore Solutions, Inc.",2842,"Specialty Cleaning, Polishing and Sanitation Preparations",Manufacturing
