company,ticker,cik,period_end,cash,current_assets,total_assets,inventory,receivables,current_liabilities,total_liabilities,equity,working_capital,current_ratio,debt_to_equity,debt_to_assets,cash_ratio
AMAZON COM INC,AMZN,1018724,3/31/2016,12470000000,30513000000,61128000000,9582000000,5072000000,28187000000,,14756000000,2326000000,1.082520311,,,0.442402526
AMAZON COM INC,AMZN,1018724,6/30/2016,12521000000,32220000000,65076000000,9588000000,6092000000,29587000000,,16538000000,2633000000,1.088991787,,,0.423192618
AMAZON COM INC,AMZN,1018724,9/30/2016,13656000000,35609000000,70897000000,10696000000,6566000000,33498000000,,17782000000,2111000000,1.063018688,,,0.407666129
AMAZON COM INC,AMZN,1018724,12/31/2016,19334000000,45781000000,83402000000,11461000000,8339000000,43816000000,,19285000000,1965000000,1.044846631,,,0.441254336
AMAZON COM INC,AMZN,1018724,3/31/2017,15440000000,39460000000,80969000000,10600000000,7329000000,37399000000,,21674000000,2061000000,1.055108425,,,0.412845263
AMAZON COM INC,AMZN,1018724,6/30/2017,13203000000,41007000000,87781000000,11510000000,8046000000,40520000000,,23214000000,487000000,1.012018756,,,0.325839092
AMAZON COM INC,AMZN,1018724,9/30/2017,12767000000,48578000000,1.15267E+11,13711000000,10557000000,47072000000,,24658000000,1506000000,1.031993542,,,0.271222808
AMAZON COM INC,AMZN,1018724,12/31/2017,20522000000,60197000000,1.3131E+11,16047000000,13164000000,57883000000,,27709000000,2314000000,1.039977195,,,0.354542785
AMAZON COM INC,AMZN,1018724,3/31/2018,16676000000,50829000000,1.26362E+11,13840000000,12026000000,48045000000,,31463000000,2784000000,1.057945676,,,0.347091269
AMAZON COM INC,AMZN,1018724,6/30/2018,19823000000,54481000000,1.341E+11,14824000000,12607000000,50801000000,,34995000000,3680000000,1.072439519,,,0.390208854
AMAZON COM INC,AMZN,1018724,9/30/2018,20425000000,59885000000,1.43695E+11,15862000000,14258000000,55324000000,,39125000000,4561000000,1.082441617,,,0.369188779
AMAZON COM INC,AMZN,1018724,12/31/2018,31750000000,75101000000,1.62648E+11,17174000000,16677000000,68391000000,,43549000000,6710000000,1.098112325,,,0.464242371
AMAZON COM INC,AMZN,1018724,3/31/2019,23115000000,69431000000,1.78102E+11,16432000000,15979000000,63695000000,,48410000000,5736000000,1.090054164,,,0.362901327
AMAZON COM INC,AMZN,1018724,6/30/2019,22616000000,76790000000,1.91351E+11,18580000000,16747000000,69678000000,,53061000000,7112000000,1.10206952,,,0.324578777
AMAZON COM INC,AMZN,1018724,9/30/2019,23255000000,79054000000,1.99099E+11,18766000000,16887000000,72136000000,,56508000000,6918000000,1.095902185,,,0.322377176
AMAZON COM INC,AMZN,1018724,12/31/2019,36092000000,96334000000,2.25248E+11,20497000000,20816000000,87812000000,,62060000000,8522000000,1.097048239,,,0.41101444
AMAZON COM INC,AMZN,1018724,3/31/2020,27201000000,85985000000,2.21238E+11,18857000000,17836000000,79711000000,,65272000000,6274000000,1.078709337,,,0.341245248
AMAZON COM INC,AMZN,1018724,6/30/2020,37466000000,1.10908E+11,2.58314E+11,19599000000,19918000000,93896000000,,73728000000,17012000000,1.181179177,,,0.399015933
AMAZON COM INC,AMZN,1018724,9/30/2020,29930000000,1.12969E+11,2.82179E+11,23735000000,20832000000,1.01912E+11,,82775000000,11057000000,1.108495565,,,0.293684748
AMAZON COM INC,AMZN,1018724,12/31/2020,42122000000,1.32733E+11,3.21195E+11,23795000000,24542000000,1.26385E+11,,93404000000,6348000000,1.05022748,,,0.333283222
AMAZON COM INC,AMZN,1018724,3/31/2021,33834000000,1.21408E+11,3.23077E+11,23849000000,24289000000,1.15404E+11,,1.0332E+11,6004000000,1.052025926,,,0.293178746
AMAZON COM INC,AMZN,1018724,6/30/2021,40380000000,1.40848E+11,3.60319E+11,24119000000,26835000000,1.17792E+11,,1.14803E+11,23056000000,1.195734855,,,0.342807661
AMAZON COM INC,AMZN,1018724,9/30/2021,29944000000,1.38531E+11,3.82406E+11,30933000000,28610000000,1.23994E+11,,1.20564E+11,14537000000,1.117239544,,,0.241495556
AMAZON COM INC,AMZN,1018724,12/31/2021,36220000000,1.6158E+11,4.20549E+11,32640000000,32891000000,1.42266E+11,,1.38245E+11,19314000000,1.135759774,,,0.254593508
AMAZON COM INC,AMZN,1018724,3/31/2022,36393000000,1.33876E+11,4.10767E+11,34987000000,32504000000,1.39508E+11,,1.34001E+11,-5632000000,0.959629555,,,0.26086676
AMAZON COM INC,AMZN,1018724,6/30/2022,37478000000,1.33667E+11,4.19728E+11,38153000000,34804000000,1.40291E+11,,1.31402E+11,-6624000000,0.952783856,,,0.267144721
AMAZON COM INC,AMZN,1018724,9/30/2022,34947000000,1.31463E+11,4.28362E+11,36647000000,36154000000,1.40363E+11,,1.37489E+11,-8900000000,0.936592977,,,0.24897587
AMAZON COM INC,AMZN,1018724,12/31/2022,53888000000,1.46791E+11,4.62675E+11,34405000000,42360000000,1.55393E+11,,1.46043E+11,-8602000000,0.944643581,,,0.346785248
AMAZON COM INC,AMZN,1018724,3/31/2023,49343000000,1.36221E+11,4.64378E+11,34170000000,37646000000,1.4757E+11,,1.54526E+11,-11349000000,0.923094125,,,0.334370129
AMAZON COM INC,AMZN,1018724,6/30/2023,49529000000,1.40482E+11,4.77607E+11,36587000000,39925000000,1.48238E+11,,1.68602E+11,-7756000000,0.947678733,,,0.334118107
AMAZON COM INC,AMZN,1018724,9/30/2023,49605000000,1.42995E+11,4.86883E+11,35406000000,43420000000,1.45214E+11,,1.82973E+11,-2219000000,0.984719104,,,0.341599295
AMAZON COM INC,AMZN,1018724,12/31/2023,73387000000,1.72351E+11,5.27854E+11,33318000000,52253000000,1.64917E+11,,2.01875E+11,7434000000,1.045077221,,,0.444993542
AMAZON COM INC,AMZN,1018724,3/31/2024,72852000000,1.63989E+11,5.30969E+11,31147000000,47768000000,1.52965E+11,,2.16661E+11,11024000000,1.072068774,,,0.476265812
AMAZON COM INC,AMZN,1018724,6/30/2024,71178000000,1.73307E+11,5.54818E+11,34109000000,50106000000,1.58172E+11,,2.36447E+11,15135000000,1.095686974,,,0.450003793
AMAZON COM INC,AMZN,1018724,9/30/2024,75091000000,1.75792E+11,5.84626E+11,36103000000,51638000000,1.61477E+11,,2.59151E+11,14315000000,1.088650396,,,0.465025979
AMAZON COM INC,AMZN,1018724,12/31/2024,78779000000,1.90867E+11,6.24894E+11,34214000000,55451000000,1.79431E+11,,2.8597E+11,11436000000,1.063734806,,,0.439048994
AMAZON COM INC,AMZN,1018724,3/31/2025,66207000000,1.84645E+11,6.43256E+11,35864000000,54216000000,1.76171E+11,,3.05867E+11,8474000000,1.048100993,,,0.375811002
AMAZON COM INC,AMZN,1018724,6/30/2025,57741000000,1.9142E+11,6.8217E+11,40825000000,57415000000,1.86921E+11,,3.33775E+11,4499000000,1.024068992,,,0.308905901
AMAZON COM INC,AMZN,1018724,9/30/2025,66922000000,1.96866E+11,7.27921E+11,41494000000,61175000000,1.95196E+11,,3.69631E+11,1670000000,1.008555503,,,0.34284514
AMAZON COM INC,AMZN,1018724,12/31/2025,86810000000,2.29083E+11,8.18042E+11,38325000000,67729000000,2.18005E+11,,4.11065E+11,11078000000,1.050815348,,,0.398201876
AMAZON COM INC,AMZN,1018724,3/31/2026,1.01816E+11,2.55155E+11,9.1663E+11,36534000000,75532000000,2.16756E+11,,4.41914E+11,38399000000,1.177153112,,,0.469726328
ALPHABET INC.,GOOGL,1652044,9/30/2014,15605000000,,,,,,,,,,,,
ALPHABET INC.,GOOGL,1652044,12/31/2014,18347000000,79978000000,1.30426E+11,,9383000000,16805000000,,1.0386E+11,63173000000,4.759178816,,,1.091758405
ALPHABET INC.,GOOGL,1652044,3/31/2015,16976000000,,,,,,,,,,,,
ALPHABET INC.,GOOGL,1652044,6/30/2015,18453000000,,,,,,,,,,,,
ALPHABET INC.,GOOGL,1652044,9/30/2015,18068000000,88103000000,1.44281E+11,,9749000000,18457000000,,1.16241E+11,69646000000,4.773419299,,,0.978923985
ALPHABET INC.,GOOGL,1652044,12/31/2015,16549000000,90114000000,1.47461E+11,491000000,11556000000,19310000000,27130000000,1.20331E+11,70804000000,4.666701191,0.225461436,0.183980849,0.85701709
ALPHABET INC.,GOOGL,1652044,3/31/2016,15111000000,90955000000,1.49747E+11,,10818000000,17684000000,26178000000,1.23569E+11,73271000000,5.143349921,0.21184925,0.174814854,0.854501244
ALPHABET INC.,GOOGL,1652044,6/30/2016,13627000000,94238000000,1.54292E+11,,11686000000,17341000000,26413000000,1.27879E+11,76897000000,5.434404014,0.206546814,0.171188396,0.7858255
ALPHABET INC.,GOOGL,1652044,9/30/2016,9406000000,98546000000,1.59948E+11,559000000,11979000000,14323000000,25845000000,1.34103E+11,84223000000,6.880262515,0.192724995,0.161583765,0.656705997
ALPHABET INC.,GOOGL,1652044,12/31/2016,12918000000,1.05408E+11,1.67497E+11,268000000,14137000000,16756000000,28461000000,1.39036E+11,88652000000,6.290761518,0.204702379,0.169919461,0.77094772
ALPHABET INC.,GOOGL,1652044,3/31/2017,18132000000,1.08794E+11,1.72756E+11,280000000,12913000000,15256000000,27807000000,1.44949E+11,93538000000,7.131227058,0.191839889,0.160961124,1.188515994
ALPHABET INC.,GOOGL,1652044,6/30/2017,15711000000,1.12386E+11,1.78621E+11,398000000,14003000000,18685000000,30335000000,1.48286E+11,93701000000,6.014771207,0.204570897,0.169828856,0.840834894
ALPHABET INC.,GOOGL,1652044,9/30/2017,10581000000,1.19345E+11,1.89536E+11,765000000,15295000000,20693000000,32436000000,1.571E+11,98652000000,5.767409269,0.206467218,0.171133716,0.511332335
ALPHABET INC.,GOOGL,1652044,12/31/2017,10715000000,1.24308E+11,1.97295E+11,749000000,18336000000,24183000000,44793000000,1.52502E+11,1.00125E+11,5.140305173,0.293720738,0.227035657,0.443079849
ALPHABET INC.,GOOGL,1652044,3/31/2018,12658000000,1.23761E+11,2.06935E+11,636000000,16777000000,25394000000,46110000000,1.60825E+11,98367000000,4.873631567,0.286709156,0.222823592,0.498464204
ALPHABET INC.,GOOGL,1652044,6/30/2018,14148000000,1.24157E+11,2.1161E+11,698000000,17043000000,29903000000,49610000000,1.62E+11,94254000000,4.151991439,0.306234568,0.234440716,0.473129786
ALPHABET INC.,GOOGL,1652044,9/30/2018,13443000000,1.29702E+11,2.21538E+11,1212000000,17897000000,31301000000,51698000000,1.6984E+11,98401000000,4.143701479,0.304392369,0.233359514,0.429475097
ALPHABET INC.,GOOGL,1652044,12/31/2018,16701000000,1.35676E+11,2.32792E+11,1107000000,20838000000,34620000000,55164000000,1.77628E+11,1.01056E+11,3.919006355,0.310559146,0.236966906,0.482409012
ALPHABET INC.,GOOGL,1652044,3/31/2019,19148000000,1.38207E+11,2.45349E+11,1053000000,19149000000,34910000000,61877000000,1.83472E+11,1.03297E+11,3.95895159,0.337255821,0.252199927,0.548496133
ALPHABET INC.,GOOGL,1652044,6/30/2019,16587000000,1.47437E+11,2.57101E+11,964000000,20965000000,37000000000,64909000000,1.92192E+11,1.10437E+11,3.984783784,0.337729978,0.252464985,0.448297297
ALPHABET INC.,GOOGL,1652044,9/30/2019,16032000000,1.48358E+11,2.63044E+11,1401000000,20889000000,39224000000,68075000000,1.94969E+11,1.09134E+11,3.782327147,0.349158071,0.258797007,0.408729349
ALPHABET INC.,GOOGL,1652044,12/31/2019,18498000000,1.52578E+11,2.75909E+11,999000000,25326000000,45221000000,74467000000,2.01442E+11,1.07357E+11,3.374051879,0.369669682,0.269896959,0.409057739
ALPHABET INC.,GOOGL,1652044,3/31/2020,19644000000,1.47018E+11,2.73403E+11,889000000,21825000000,40189000000,69744000000,2.03659E+11,1.06829E+11,3.65816517,0.34245479,0.255095957,0.488790465
ALPHABET INC.,GOOGL,1652044,6/30/2020,17742000000,1.49069E+11,2.78492E+11,815000000,21201000000,43658000000,71170000000,2.07322E+11,1.05411E+11,3.414471575,0.34328243,0.255554917,0.406386
ALPHABET INC.,GOOGL,1652044,9/30/2020,20129000000,1.64369E+11,2.99243E+11,835000000,24925000000,48200000000,86323000000,2.1292E+11,1.16169E+11,3.410145228,0.405424573,0.288471242,0.417614108
ALPHABET INC.,GOOGL,1652044,12/31/2020,26465000000,1.74296E+11,3.19616E+11,728000000,30930000000,56834000000,97072000000,2.22544E+11,1.17462E+11,3.066755815,0.436192393,0.303714457,0.465654362
ALPHABET INC.,GOOGL,1652044,3/31/2021,26622000000,1.72137E+11,3.27095E+11,888000000,28006000000,55453000000,97082000000,2.30013E+11,1.16684E+11,3.104196346,0.422071796,0.296800624,0.480082232
ALPHABET INC.,GOOGL,1652044,6/30/2021,23630000000,1.75697E+11,3.35387E+11,907000000,31967000000,55741000000,97822000000,2.37565E+11,1.19956E+11,3.152024542,0.41176941,0.291669027,0.423924939
ALPHABET INC.,GOOGL,1652044,9/30/2021,23719000000,1.8411E+11,3.47403E+11,1278000000,34047000000,61782000000,1.02836E+11,2.44567E+11,1.22328E+11,2.979994173,0.420481913,0.296013563,0.383914409
ALPHABET INC.,GOOGL,1652044,12/31/2021,20945000000,1.88143E+11,3.59268E+11,1170000000,39304000000,64254000000,1.07633E+11,2.51635E+11,1.23889E+11,2.928113425,0.427734616,0.299589721,0.325971924
ALPHABET INC.,GOOGL,1652044,3/31/2022,20886000000,1.77853E+11,3.57096E+11,1369000000,34703000000,61948000000,1.03092E+11,2.54004E+11,1.15905E+11,2.871004714,0.405867624,0.288695477,0.337153742
ALPHABET INC.,GOOGL,1652044,6/30/2022,17936000000,1.72371E+11,3.55185E+11,1980000000,35707000000,61354000000,99766000000,2.55419E+11,1.11017E+11,2.809450077,0.390597411,0.280884609,0.292336278
ALPHABET INC.,GOOGL,1652044,9/30/2022,21984000000,1.66109E+11,3.58255E+11,3156000000,34697000000,65979000000,1.04629E+11,2.53626E+11,1.0013E+11,2.517604086,0.412532627,0.292051751,0.333196926
ALPHABET INC.,GOOGL,1652044,12/31/2022,21879000000,1.64795E+11,3.65264E+11,2670000000,40258000000,69300000000,1.0912E+11,2.56144E+11,95495000000,2.377994228,0.426010369,0.298742827,0.315714286
ALPHABET INC.,GOOGL,1652044,3/31/2023,25924000000,1.61985E+11,3.69491E+11,2315000000,36036000000,68854000000,1.08597E+11,2.60894E+11,93131000000,2.352586633,0.416249511,0.29390973,0.376506812
ALPHABET INC.,GOOGL,1652044,6/30/2023,25929000000,1.68788E+11,3.83044E+11,2231000000,38804000000,77709000000,1.15903E+11,2.67141E+11,91079000000,2.172052143,0.433864513,0.302584037,0.333667915
ALPHABET INC.,GOOGL,1652044,9/30/2023,30702000000,1.7631E+11,3.96711E+11,2957000000,41020000000,86295000000,1.23509E+11,2.73202E+11,90015000000,2.043107944,0.452079414,0.311332431,0.355779593
ALPHABET INC.,GOOGL,1652044,12/31/2023,24048000000,1.7153E+11,4.02392E+11,,47964000000,81814000000,1.19013E+11,2.83379E+11,89716000000,2.096584937,0.419978192,0.295763832,0.293935023
ALPHABET INC.,GOOGL,1652044,3/31/2024,24493000000,1.65471E+11,4.0735E+11,,44552000000,76997000000,1.14506E+11,2.92844E+11,88474000000,2.149057755,0.391013645,0.281099791,0.318103303
ALPHABET INC.,GOOGL,1652044,6/30/2024,27225000000,1.61995E+11,4.1477E+11,,47087000000,77913000000,1.14017E+11,3.00753E+11,84082000000,2.079178058,0.379105113,0.274892109,0.349428208
ALPHABET INC.,GOOGL,1652044,9/30/2024,19959000000,1.57541E+11,4.30266E+11,,49104000000,80803000000,1.16147E+11,3.14119E+11,76738000000,1.949692462,0.369754774,0.269942315,0.247008156
ALPHABET INC.,GOOGL,1652044,12/31/2024,23466000000,1.63711E+11,4.50256E+11,,52340000000,89122000000,1.25172E+11,3.25084E+11,74589000000,1.836931397,0.385045096,0.278001848,0.263301991
ALPHABET INC.,GOOGL,1652044,3/31/2025,23264000000,1.62052E+11,4.75374E+11,,51000000000,91654000000,1.30107E+11,3.45267E+11,70398000000,1.768084317,0.376830105,0.273693976,0.253824165
ALPHABET INC.,GOOGL,1652044,6/30/2025,21036000000,1.66216E+11,5.02053E+11,,55048000000,87310000000,1.39137E+11,3.62916E+11,78906000000,1.903745275,0.383386238,0.277136079,0.240934601
ALPHABET INC.,GOOGL,1652044,9/30/2025,23090000000,1.73947E+11,5.36469E+11,,57148000000,99550000000,1.49602E+11,3.86867E+11,74397000000,1.747332998,0.386701373,0.278864203,0.231943747
ALPHABET INC.,GOOGL,1652044,12/31/2025,30708000000,2.06038E+11,5.95281E+11,,62886000000,1.02745E+11,1.80016E+11,4.15265E+11,1.03293E+11,2.005333593,0.433496683,0.302405083,0.298875858
ALPHABET INC.,GOOGL,1652044,3/31/2026,38063000000,2.13753E+11,7.03919E+11,,62999000000,1.11188E+11,2.25173E+11,4.78746E+11,1.02565E+11,1.922446667,0.470339178,0.319884816,0.342330108
